date,year,month,quarter,region,product,sales_rep,customer,revenue,cost,profit,units_sold,unit_price,profit_margin,month_name,day_of_week,week_number
2022-01-01,2022,1,Q1,North America,Software License,Liam Garcia,Future Systems Inc,68940.85,42165.38,26775.48,4,17235.21,38.84,January,Saturday,52
2022-01-01,2022,1,Q1,Europe,Cloud Subscription,Carol Davis,DataFlow Corp,28140.64,22166.68,5973.96,2,14070.32,21.23,January,Saturday,52
2022-01-01,2022,1,Q1,Middle East & Africa,Software License,Jack Anderson,Elite Systems,25829.24,18658.28,7170.96,10,2582.92,27.76,January,Saturday,52
2022-01-01,2022,1,Q1,North America,Software License,Bob Smith,Digital Ventures,49878.82,39735.77,10143.05,3,16626.27,20.34,January,Saturday,52
2022-01-01,2022,1,Q1,Europe,Hardware,Jack Anderson,TechCorp Inc,41712.26,28242.68,13469.59,2,20856.13,32.29,January,Saturday,52
2022-01-01,2022,1,Q1,Middle East & Africa,Cloud Subscription,Liam Garcia,Horizon Corp,12111.81,7350.39,4761.42,14,865.13,39.31,January,Saturday,52
2022-01-01,2022,1,Q1,Latin America,Cloud Subscription,Henry Taylor,Zenith Systems,15209.31,9220.84,5988.47,18,844.96,39.37,January,Saturday,52
2022-01-01,2022,1,Q1,Asia Pacific,Software License,Maya Patel,Enterprise Dynamics,26188.87,17134.59,9054.28,13,2014.53,34.57,January,Saturday,52
2022-01-02,2022,1,Q1,Latin America,Professional Services,Emma Brown,CloudTech Solutions,18813.86,14190.43,4623.43,5,3762.77,24.57,January,Sunday,52
2022-01-02,2022,1,Q1,Europe,Professional Services,Bob Smith,Innovation Systems,42164.54,28425.8,13738.74,5,8432.91,32.58,January,Sunday,52
2022-01-02,2022,1,Q1,Latin America,Software License,Frank Miller,Apex Solutions,43531.52,32742.54,10788.98,14,3109.39,24.78,January,Sunday,52
2022-01-02,2022,1,Q1,Middle East & Africa,Professional Services,Maya Patel,Global Solutions Ltd,14373.19,8934.06,5439.13,7,2053.31,37.84,January,Sunday,52
2022-01-02,2022,1,Q1,Latin America,Hardware,Bob Smith,Prime Industries,38996.08,24981.37,14014.72,13,2999.7,35.94,January,Sunday,52
2022-01-02,2022,1,Q1,North America,Hardware,Emma Brown,Stellar Enterprises,73016.83,56536.36,16480.47,12,6084.74,22.57,January,Sunday,52
2022-01-02,2022,1,Q1,Asia Pacific,Hardware,David Wilson,Innovation Systems,31842.59,21825.6,10016.99,13,2449.43,31.46,January,Sunday,52
